,date,supplier_name,scrap_code,value,weight
39,2020-02-17,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,274.05,2610
40,2020-02-17,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,300.15,2610
41,2020-01-20,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,256.956,2622
42,2020-01-20,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,275.31,2622
43,2020-01-20,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,301.53,2622
44,2020-02-04,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,257.544,2628
45,2020-03-05,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,260.484,2658
46,2020-01-22,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,306.59,2666
47,2020-02-21,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,261.464,2668
48,2020-02-21,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,280.14,2668
49,2020-02-21,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,306.82,2668
50,2020-01-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,261.856,2672
51,2020-01-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,280.56,2672
52,2020-01-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,307.28,2672
53,2020-03-06,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,262.64,2680
54,2020-03-06,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,281.4,2680
55,2020-03-06,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,308.2,2680
56,2020-02-11,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,262.836,2682
57,2020-02-11,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,281.61,2682
58,2020-02-11,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,308.43,2682
59,2020-03-11,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,263.228,2686
60,2020-03-11,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,282.03,2686
61,2020-03-11,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,308.89,2686
62,2020-02-28,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,263.424,2688
63,2020-02-28,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,282.24,2688
64,2020-02-14,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,309.12,2688
65,2020-02-28,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,309.12,2688
66,2020-02-26,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,263.816,2692
67,2020-02-20,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,264.012,2694
68,2020-02-27,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,283.5,2700
69,2020-02-27,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,310.5,2700
70,2020-01-15,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,264.992,2704
71,2020-01-15,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,283.92,2704
72,2020-01-15,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,310.96,2704
73,2020-02-18,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,284.34,2708
74,2020-02-27,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,265.58,2710
75,2020-02-25,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,268.324,2738
76,2020-02-25,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,287.49,2738
77,2020-02-25,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,314.87,2738
78,2020-01-17,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,269.108,2746
79,2020-01-31,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,321.77,2798
80,2020-03-03,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50008,275.772,2814
81,2020-03-03,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,295.47,2814
82,2020-03-03,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,323.61,2814
83,2020-02-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,407.295,3879
84,2020-02-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,446.085,3879
85,2020-03-16,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,420.525,4005
86,2020-03-16,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,460.575,4005
87,2020-02-18,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,467.13,4062
88,2020-01-07,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50007,429.975,4095
89,2020-01-07,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,470.925,4095
90,2020-03-05,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50003,611.34,5316
91,2020-02-04,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50010,985.5,7884
92,2020-02-07,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50010,1656.25,13250
93,2020-02-07,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,1656.25,13250
94,2020-02-04,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,1971.0,15768
95,2020-01-24,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2243.5,17948
96,2020-02-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2262.75,18102
97,2020-01-10,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2276.75,18214
98,2020-03-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2282.0,18256
99,2020-02-17,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2283.75,18270
100,2020-01-20,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2294.25,18354
101,2020-03-05,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2325.75,18606
102,2020-02-21,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2334.5,18676
103,2020-03-16,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2336.25,18690
104,2020-01-13,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2338.0,18704
105,2020-03-06,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2345.0,18760
106,2020-02-11,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2346.75,18774
107,2020-03-11,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2350.25,18802
108,2020-02-28,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2352.0,18816
109,2020-02-27,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2356.25,18850
110,2020-01-15,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2366.0,18928
111,2020-02-18,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2369.5,18956
112,2020-01-07,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2388.75,19110
113,2020-02-25,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2395.75,19166
114,2020-03-03,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2462.25,19698
115,2020-03-09,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2604.0,20832
116,2020-02-26,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2692.0,21536
117,2020-02-24,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2952.0,23616
118,2020-01-22,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,2999.25,23994
119,2020-01-09,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,3003.75,24030
120,2020-02-14,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,3024.0,24192
121,2020-02-20,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,3030.75,24246
122,2020-01-03,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,3062.25,24498
123,2020-01-17,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,3089.25,24714
124,2020-02-10,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,3115.0,24920
125,2020-01-31,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,3147.75,25182
126,2020-01-28,ΚΥΡΤΣΟΣ ΧΡ. ΚΥΡΙΑΚΟΣ (ΤΟΜΕΑΣ ΣΙΔΗΡΟ,50002,3252.5,26020
127,2020-01-20,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50007,142.065,1353
128,2020-03-09,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,307.97,2678
129,2020-03-09,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,334.75,2678
130,2020-01-16,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,335.25,2682
131,2020-01-28,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50007,290.01,2762
132,2020-03-09,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,351.5,2812
133,2020-01-29,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,466.44,4056
134,2020-01-09,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,493.35,4290
135,2020-01-09,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,536.25,4290
136,2020-01-30,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,609.5,5300
137,2020-01-16,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,616.86,5364
138,2020-01-28,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,621.46,5404
139,2020-01-13,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,679.5,5436
140,2020-01-31,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,694.5,5556
141,2020-03-09,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,646.76,5624
142,2020-01-17,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,649.98,5652
143,2020-01-17,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,706.5,5652
144,2020-01-29,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,845.0,6760
145,2020-01-20,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,845.625,6765
146,2020-01-30,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,993.75,7950
147,2020-03-10,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,925.29,8046
148,2020-01-22,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,1017.0,8136
149,2020-01-31,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,958.41,8334
150,2020-01-27,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,1056.0,8448
151,2020-01-28,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,1351.0,10808
152,2020-01-28,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,1321.0,10568
153,2020-01-28,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50003,1270.52,11048
154,2020-01-29,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,1411.0,11288
155,2020-01-30,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,1608.75,12870
156,2020-01-28,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,1721.25,13770
157,2020-01-31,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,1661.25,13290
158,2020-01-29,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,1988.0,15904
159,2020-01-29,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,2116.5,16932
160,2020-01-17,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,2094.5,16756
161,2020-03-10,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,2296.75,18374
162,2020-01-16,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,2304.25,18434
163,2020-01-20,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50002,2337.75,18702
164,2020-01-22,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,2325.5,18604
165,2020-03-09,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,2418.0,19344
166,2020-01-27,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,2441.5,19532
167,2020-01-09,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,2490.0,19920
168,2020-03-09,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,2643.0,21144
169,2020-01-13,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,2705.5,21644
170,2020-03-11,ΕΚΑΝ ΑΒΕΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),50010,3292.5,26340
